en,zh
Acquired prerequisites for graduate study in Political Science,获得政治学研究生学习的先决条件
"活动与社团: Phi Beta Kappa (2003), Honors at Oxford, study abroad (University of Helsinki), National Merit Scholar",活动与：Phi Beta Kappa（2003），牛津大学的荣誉，出国留学（赫尔辛基大学），国家功绩学者
Contents: http://www.dsic.upv.es/~fmartinez/papers/Content_thesis_fmartinez.pdf Abstract: http://www.dsic.upv.es/~fmartinez/papers/Abstract_thesis_fmartinez.pdf Thesis: http://dx.doi.org/10.4995/Thesis/10251/67269,内容：http：//www.dsic.upv.es/~fmartinez/papers/content_thesis_thesis_fmartinez.pdf摘要：http：//wwwww.dsic.upv.es/~fmartinez/ppapers/papers/papers/papers/abstract_thesis_thesis_thesis_tractis_fmartinez.ppdf thesis：//dx.doi.org/10.4995/thesis/10251/67269
,翻译api错误
Ph.D. Molecular and Cellular Biology,博士分子和细胞生物学
B.S. Microbiology,B.S.微生物学
"My graduate studies concerned black holes in higher dimensions and string theory, as well as the AdS/CFT correspondence and its generalization, gauge/gravity duality. My adviser was Gary Horowitz (https://en.wikipedia.org/wiki/Gary_Horowitz) and my publication list can be found here: http://inspirehep.net/search?ln=en&p=f+a+hartnett%2C+gavin&of=hb&action_search=Search",我的研究生研究涉及较高维度和弦理论的黑洞，以及广告/CFT对应关系及其概括，量规/重力二重性。我的顾问是Gary Horowitz（https://en.wikipedia.org/wiki/wiki/gary_horowitz），我的出版物列表可以在此处找到：http：//inspirehep.net/search?ln = en = en = en＆p =+a+a+hartnett;+gavin＆of = hb＆action_search =搜索
"活动与社团: Associated Students UCLA (ASUCLA) Board of Directors--Chair: 1999-2000, Graduate Students Association (GSA)--Vice-President Internal 1997-1998, GSA Math & Physical Sciences Council--President 1996-2000",活动与社团：联合学生UCLA（ASUCLA）董事会 - 主席：1999-2000，研究生协会（GSA） - 副主席内部1997-1998，GSA数学和物理科学委员会 - 主席 -  1996-2000
- Invited by the National Institute for International Education Development(NIIED) of Korea as a Korean government scholarship grantee, - 受韩国国家国际教育发展研究所（NIIEID）的邀请作为韩国政府奖学金人
成绩: 94.7/100,成绩：94.7/100
活动与社团: Trinity College BA Society: Computing officer,活动与社团：三一学院学士协会：计算官
成绩: I,成绩：我
成绩: Merit,成绩：优点
"History, classics and political science.",历史，经典和政治学。
成绩: Distinction,成绩：区别
成绩: 1st Class,成绩：一级
成绩: Honours (Dean's commendation),成绩：荣誉（院长的表彰）
成绩: Honours,成绩：荣誉
"""The Military Policies of European Neutral and Non-Allied States after the Cold War, 1989-2004""",“ 1989  -  2004年冷战之后欧洲中立和非同盟国的军事政策”
活动与社团: Entrepreneur course for building a start-up,活动与社团：建立初创企业的企业家课程
PhD started at the Department of Political Science of the University of Geneva and then transferred to the University of Oxford.,博士在日内瓦大学政治科学系开始，然后转到牛津大学。
成绩: Magna cum laude,成绩：麦格纳（Magna Cum Laude）
"Institute of Asian and African Studies of the Moscow State University (Department of South Asian History, chairman Prof. Alexei Vigasin, supervisor Prof. Alexandra Safronova), Moscow, Russia – 2009 (PhD thesis on ‘Shaping the status of the South Asian religious minorities, the second half of the 20th century – beginning of the 21st century (cases of India and Pakistan)’)",莫斯科州立大学亚洲和非洲研究所（南亚历史系，俄罗斯莫斯科亚历山德拉·萨弗罗诺瓦教授Alexei Vigasin教授，主管Alexei Vigasin教授），俄罗斯 -  2009年（关于塑造南亚宗教少数民族地位的博士学位论文，20世纪下半叶 -  21世纪初（印度和巴基斯坦案件）'）
"24th ISODARCO Winter Course on ""Eliminating Nuclear Weapons and Safeguarding Nuclear Technologies"" (9-16 January 2011, Andalo (Trento), Italy)",第24届ISODARCO冬季课程关于“消除核武器和保护核技术”（2011年1月9日至16日，安达洛（Trento），意大利）
"23rd ISODARCO Winter Course on: ""The Road to Nuclear Zero and Arms Control"" (10-17 January 2010, Andalo (Trento), Italy)",第23届Isodarco冬季课程：“通往核零和军备控制的道路”（2010年1月10日至17日，安达洛（特伦托），意大利）
"Master's thesis: ""Mali-tarisation of the Swedish 'peace-nation' narrative?: A narrative analysis of Swedish peacekeeping in the peace support operation in Mali""",硕士论文：“瑞典'和平国家叙事的马里派化？
"Politices kandidatprogram med inriktning statskunskap (180 ECTS) Kandidatuppsats: ""The Political Effect of Female Terrorists: Do women become empowered when entering male dominated spheres?""",政治kandidatprogram Med Inriktning Statskunskap（180 ECTS）Kandidatuppsats：“女性恐怖分子的政治效果：女性在进入男性主导球体时是否有能力？”
"Advanced studies of Conflict, Security & Development and Contemporary Security Studies (30 ECTS) Melbourne, Australia",冲突，安全与发展与当代安全研究的高级研究（30 ECTS），澳大利亚墨尔本
"Dr. Saalman completed her Ph.D. at Tsinghua University in Beijing, where she was the first American to earn a doctorate from its Department of International Relations. Her Chinese-language dissertation covers the impact of U.S. and European export control shifts on China’s and India’s military modernization. Upon graduation from Tsinghua University, she was awarded the Outstanding Ph.D. Graduate Award and the Outstanding Dissertation Award, Second Tier.",萨尔曼博士完成了博士学位。在北京的Tsinghua大学，她是第一个从其国际关系系获得博士学位的美国人。她的中文论文涵盖了美国和欧洲出口控制对中国和印度军事现代化的影响。从Tsinghua大学毕业后，她获得了杰出博士学位。研究生奖和第二级杰出论文奖。
成绩: Ist,成绩：ist
成绩: First Class/First Position,成绩：头等舱/第一职位
"成绩: 4,7","成绩：4,7"
"活动与社团: Treasurer for the PeCoS Student Council 2013-2014, Executive Committee of the Oslo Peace Forum 2014",活动与：2013-2014 PECOS学生会的财务主管，2014年奥斯陆和平论坛执行委员会执行委员会
"A sociology programme with a special focus on statistics. My main interest was social inequality in its various forms, including gender, ethnicity, and social-economic class. ★ Thesis: The relation between social-economic status and ethnic distance.",社会学计划特别关注统计。我的主要兴趣是各种形式的社会不平等，包括性别，种族和社会经济阶级。★论文：社会经济地位与种族距离之间的关系。
"Finishing my history degree at Radboud Universiteit. My main interests were gender history, global history, and Foucauldian analysis. ★Thesis: The perception of suffragettes as hysterical.",在Radboud大学完成了我的历史学位。我的主要兴趣是性别历史，全球历史和福柯分析。★论文：对选举权作为歇斯底里的感知。
"活动与社团: NCAA Student Athlete, Cadet Squadron Commander, Falcon Heritage Forum Committee, Annual National Character & Leadership Symposium",活动与：NCAA学生运动员，学员中队指挥官，猎鹰遗产论坛委员会，年度民族角色和领导力研讨会
The first student to ever graduate with a double major: Physics and Chemistry,有史以来第一个毕业的学生：物理和化学
