,introduction,postingTitle,duty,content,description,recommendationDetails,work_introduction,projectIntroduction
0,[''],[''],[''],[''],[''],[''],[''],['']
1,[''],[''],[''],[''],[''],[''],[''],['']
2,[''],[''],[''],[''],[''],[''],[''],['']
3,[''],[''],['Temporary assignment from CNAS under the Intergovernmental Personnel ActTemporary assignment from CNAS under the Intergovernmental Personnel Act'],"['Acquired prerequisites for graduate study in Political Science', '活动与社团: Phi Beta Kappa (2003), Honors at Oxford, study abroad (University of Helsinki), National Merit Scholar']",[''],[''],[],['']
4,['Leading expert in artificial intelligence and machine learning. Co-author (with Peter Norvig) of the standard text in the field.'],"['A brief ""illustrated"" video of excerpts from my #CERN Sparks talk, recorded from my back garden!', 'A new World Economic Forum interview on ""Radio Davos"":', 'A remarkably cogent defence of democratic ideals in the digital era, by Paul Nemitz:', 'New PhD and postdoc fellowships available from the Future of Life Institute in ""AI existential safety"" -- see ', 'Have read several recent articles about various scams to inflate paper counts and citation counts. Here is my first case of attempted bribery by an organization. Have other people seen such attempts? Hi, Dear Prof. Stuart Russell, nice to meet you. This is Charlotte from AEIC(Academic Exchange Information Centre). Would you mind telling me if you are a guest editor of any SCI/SSCI/EI indexed journal?If yes, we would like to recommend some manuscripts to your special issues. For each accepted manuscripts, we could pay a certain honorarium for you. Looking forward to your early reply. Best regards, Charlotte', 'The first killings by lethal autonomous weapon? New article in IEEE Spectrum:', 'An interesting documentary by Ana Montserrat on the present and future of AI: ', ""New post today with Charles-Edouard Bouée on the World Economic Forum Global Agenda. It's about the future of work and human roles in an AI-enabled world: ""]","['Start-up delivering novel data analysis solutions based on open-universe probability models. Contractor for the United Nations Comprehensive Nuclear-Test-Ban Treaty Organization, building a new global monitoring system.Start-up delivering novel data analysis solutions based on open-universe probability models. Contractor for the United Nations Comprehensive Nuclear-Test-Ban Treaty Organization, building a new global monitoring system.', 'Research on computational physiology and ICU monitoring with Prof. Geoff ManleyResearch on computational physiology and ICU monitoring with Prof. Geoff Manley', 'served as Chair of Computer Science Division 2006-2010 and Chair of Department of Electrical Engineering and Computer Sciences 2008-2010served as Chair of Computer Science Division 2006-2010 and Chair of Department of Electrical Engineering and Computer Sciences 2008-2010']",[],[''],[],[''],['']
5,[''],[''],[''],[''],[''],[''],[''],['']
6,[''],[''],[''],[''],[''],[''],[''],['']
7,[''],[''],[''],[''],[''],[''],[''],['']
8,[''],[''],[''],[''],[''],[''],[''],['']
9,"['Postdoctoral researcher in Artificial Intelligence in the Department of Information Systems and Computation (DSIC) at the Technical University of Valencia (UPV), Spain. Lecturer in the Master in Big Data Analytics and in the Máster Universitario en Ingeniería Informática. Teaching Assistant in the Máster Universitario en Investigación en Inteligencia Artificial at UIMP. I received a B.Sc. degree in Computer Science (2009), M.Sc. degree in Software Engineering, Formal Methods and Information Systems (2010), a Post-Graduate Diploma in Engineering Business Management (2011) and a Ph.D in Computer Science (2016) from UPV. My dissertation (http://dx.doi.org/10.4995/Thesis/10251/67269) deals with the long-standing problem of creating more general AI systems, through the analysis of their development and the evaluation of their cognitive abilities. My main research and academic interest encompasses several areas of Artificial Intelligence, machine learning, inductive programming, cognitive systems, data science and visualisation.']","['Less than two weeks to submit your contributions to AEGAP 2018! IJCAI/ECAI 2018 - July 13-19 2018, Stockholm, Sweden - ', 'Abierta la convocatoria del #IIOpendatathon ¿Presentas tu reto? Nivel preuniversitario y universitario ']","['Working as a scientific researcher in the AI WATCH & HUMAINT projects, linked to the Digital Transformation and Artificial Intelligence Project, Digital Economy Unit, Joint Research Centre, European Commission.Working as a scientific researcher in the AI WATCH & HUMAINT projects, linked to the Digital Transformation and Artificial Intelligence Project, Digital Economy Unit, Joint Research Centre, European Commission.', 'Instituto Nacional de Ciberseguridad (INCIBE): Programa de excelencia de los equipos de investigación avanzada en ciberseguridad.Instituto Nacional de Ciberseguridad (INCIBE): Programa de excelencia de los equipos de investigación avanzada en ciberseguridad.', 'Reuse of learnt knowledge is of critical importance in the majority of knowledge-intensive application areas, particularly because the operating context can be expected to vary from training to deployment. In machine learning this is most commonly studied in relation to variations in class and cost skew in classification. While this is evidently useful in many practical situations, there is a clear and pressing need to generalise the notion of operating context beyond the narrow framework of skew-sensitive classification. This project aims to address the challenge of redesigning the entire data-to-knowledge (D2K) pipeline in order to take account of a significantly generalised notion of operating context. Project REFRAME (2012-2016), coordinated by the University of Bristol, the Université de Strasbourg and the Universitat Politècnica de València. The REFRAME project has been granted by CHIST-ERA (European Coordinated Research on Long-term Challenges in Information and Communication Sciences & Technologies ERA-Net). http://reframe-d2k.orgReuse of learnt knowledge is of critical importance in the majority of knowledge-intensive application areas, particularly because the operating context can be expected to vary from training to deployment. In machine learning this is most commonly studied in relation to variations in class and cost skew in classification. While this is evidently useful in many practical situations, there is a clear and pressing need to generalise the notion of operating context beyond the narrow framework of skew-sensitive classification. This project aims to address the challenge of redesigning the entire data-to-knowledge (D2K) pipeline in order to take account of a significantly generalised notion of operating context. Project REFRAME (2012-2016), coordinated by the University of Bristol, the Université de Strasbourg and the Universitat Politècnica de València. The REFRAME project has been granted by CHIST-ERA (European Coordinated Research on Long-term Challenges in Information and Communication Sciences & Technologies ERA-Net). http://reframe-d2k.org', 'Ph.D Thesis project. Publications: - DBLP: http://dblp.uni-trier.de/pers/hd/m/Mart=iacute=nez=Plumed:Fernando - Google Scholar: https://scholar.google.com/citations?user=a5qlaGIAAAAJ&hl=en - Personal Website: http://users.dsic.upv.es/~fmartinez/publications.htmlPh.D Thesis project. Publications: - DBLP: http://dblp.uni-trier.de/pers/hd/m/Mart=iacute=nez=Plumed:Fernando - Google Scholar: https://scholar.google.com/citations?user=a5qlaGIAAAAJ&hl=en - Personal Website: http://users.dsic.upv.es/~fmartinez/publications.html', 'Machine learning, business intelligence, data science and data visualisation at the master and degree level Machine learning, business intelligence, data science and data visualisation at the master and degree level']",['Contents: http://www.dsic.upv.es/~fmartinez/papers/Content_thesis_fmartinez.pdf Abstract: http://www.dsic.upv.es/~fmartinez/papers/Abstract_thesis_fmartinez.pdf Thesis: http://dx.doi.org/10.4995/Thesis/10251/67269'],[''],[],[],['']
